Dates,DoW,Subject,Board,Trials,TrialsLeft,TrialsRight,Hits,HitsLeft,HitsRight,HitsRep,HitsAlt,Errors,ErrorsLeft,ErrorsRight,Performance,PerformanceLeft,PerformanceRight,Responses,ResponsesLeft,ResponsesRight,Repetitions,Alternations,Accuracy,AccuracyLeft,AccuracyRight,AccuracyRep,AccuracyAlt,Misses,MissesLeft,MissesRight,MissRate,MissRateLeft,MissRateRight,Rewards,RewardsLeft,RewardsRight,Water,WaterLeft,WaterRight,Stage,SoundsMismatch,NoSound,MessageCount
2022-03-01,1,337,['Bpod8'],459,229,230,391,177,214,206,174,51,38,13,0.8518518518518519,0.7729257641921398,0.9304347826086956,442,215,227,221,221,0.8846153846153846,0.8232558139534883,0.9427312775330396,0.9321266968325792,0.7873303167420814,17,14,3,0.037037037037037035,0.0611353711790393,0.013043478260869565,391,177,214,977.5,442.5,535.0,2,0,0,0
2022-03-02,2,337,['Bpod8'],555,313,242,457,231,226,229,224,89,75,14,0.8234234234234235,0.7380191693290735,0.9338842975206612,546,306,240,264,281,0.836996336996337,0.7549019607843137,0.9416666666666667,0.8674242424242424,0.797153024911032,9,7,2,0.016216216216216217,0.022364217252396165,0.008264462809917356,457,231,226,1142.5,577.5,565.0,3,0,0,0
2022-03-03,3,337,['Bpod8'],552,263,289,465,245,220,274,190,82,15,67,0.842391304347826,0.9315589353612167,0.7612456747404844,547,260,287,282,265,0.850091407678245,0.9423076923076923,0.7665505226480837,0.9716312056737588,0.7169811320754716,5,3,2,0.009057971014492754,0.011406844106463879,0.006920415224913495,465,245,220,1162.5,612.5,550.0,3,0,0,0
2022-03-04,4,337,['Bpod8'],569,293,276,457,226,231,246,210,112,67,45,0.8031634446397188,0.7713310580204779,0.8369565217391305,569,293,276,280,288,0.8031634446397188,0.7713310580204779,0.8369565217391305,0.8785714285714286,0.7291666666666666,0,0,0,0.0,0.0,0.0,457,226,231,1142.5,565.0,577.5,3,0,0,0
2022-03-07,0,337,['Bpod8'],189,98,91,141,65,76,81,56,25,17,8,0.746031746031746,0.6632653061224489,0.8351648351648352,166,82,84,84,82,0.8493975903614458,0.7926829268292683,0.9047619047619048,0.9642857142857143,0.6829268292682927,23,16,7,0.12169312169312169,0.16326530612244897,0.07692307692307693,141,65,76,352.5,162.5,190.0,3,0,0,0
2022-03-08,1,337,['Bpod8'],165,91,74,141,75,66,80,57,12,9,3,0.8545454545454545,0.8241758241758241,0.8918918918918919,153,84,69,84,68,0.9215686274509803,0.8928571428571429,0.9565217391304348,0.9523809523809523,0.8382352941176471,12,7,5,0.07272727272727272,0.07692307692307693,0.06756756756756757,141,75,66,352.5,187.5,165.0,3,0,0,0
2022-03-09,2,337,['Bpod8'],494,227,267,383,173,210,226,156,110,53,57,0.7753036437246964,0.762114537444934,0.7865168539325843,493,226,267,259,233,0.7768762677484787,0.7654867256637168,0.7865168539325843,0.8725868725868726,0.6695278969957081,1,1,0,0.0020242914979757085,0.004405286343612335,0.0,383,173,210,957.5,432.5,525.0,3,0,0,0
2022-03-10,3,337,['Bpod8'],393,211,182,296,137,159,155,140,97,74,23,0.7531806615776081,0.6492890995260664,0.8736263736263736,393,211,182,194,198,0.7531806615776081,0.6492890995260664,0.8736263736263736,0.7989690721649485,0.7070707070707071,0,0,0,0.0,0.0,0.0,296,137,159,740.0,342.5,397.5,3,0,0,0
2022-03-11,4,337,['Bpod8'],493,231,262,410,199,211,220,187,73,26,47,0.8316430020283976,0.8614718614718615,0.8053435114503816,483,225,258,231,252,0.8488612836438924,0.8844444444444445,0.8178294573643411,0.9523809523809523,0.7420634920634921,10,6,4,0.02028397565922921,0.025974025974025976,0.015267175572519083,410,199,211,1025.0,497.5,527.5,3,0,0,0
2022-03-15,1,337,['Bpod8'],146,82,64,75,38,37,49,24,53,36,17,0.5136986301369864,0.4634146341463415,0.578125,128,74,54,72,56,0.5859375,0.5135135135135135,0.6851851851851852,0.6805555555555556,0.42857142857142855,18,8,10,0.1232876712328767,0.0975609756097561,0.15625,75,38,37,187.5,95.0,92.5,3,0,0,0
2022-03-16,2,337,['Bpod8'],354,164,190,243,129,114,127,116,102,30,72,0.6864406779661016,0.7865853658536586,0.6,345,159,186,150,195,0.7043478260869566,0.8113207547169812,0.6129032258064516,0.8466666666666667,0.5948717948717949,9,5,4,0.025423728813559324,0.03048780487804878,0.021052631578947368,243,129,114,607.5,322.5,285.0,3,0,0,0
2022-03-17,3,337,['Bpod8'],446,219,227,367,165,202,191,173,70,51,19,0.8228699551569507,0.7534246575342466,0.8898678414096917,437,216,221,217,220,0.8398169336384439,0.7638888888888888,0.9140271493212669,0.880184331797235,0.7863636363636364,9,3,6,0.020179372197309416,0.0136986301369863,0.02643171806167401,367,165,202,917.5,412.5,505.0,3,0,0,0
2022-03-18,4,337,['Bpod8'],440,245,195,360,194,166,183,177,71,46,25,0.8181818181818182,0.7918367346938775,0.8512820512820513,431,240,191,214,217,0.8352668213457076,0.8083333333333333,0.8691099476439791,0.8551401869158879,0.815668202764977,9,5,4,0.020454545454545454,0.02040816326530612,0.020512820512820513,360,194,166,900.0,485.0,415.0,3,0,0,0
2022-03-21,0,337,['Bpod8'],275,131,144,232,112,120,121,106,31,13,18,0.8436363636363636,0.8549618320610687,0.8333333333333334,263,125,138,125,138,0.8821292775665399,0.896,0.8695652173913043,0.968,0.7681159420289855,12,6,6,0.04363636363636364,0.04580152671755725,0.041666666666666664,232,112,120,580.0,280.0,300.0,4,0,0,0
2022-03-22,1,337,['Bpod8'],295,139,156,229,118,111,130,98,57,19,38,0.7762711864406779,0.8489208633093526,0.7115384615384616,286,137,149,148,138,0.8006993006993007,0.8613138686131386,0.7449664429530202,0.8783783783783784,0.7101449275362319,9,2,7,0.030508474576271188,0.014388489208633094,0.04487179487179487,229,118,111,572.5,295.0,277.5,4,0,0,0
2022-03-23,2,337,['Bpod8'],546,260,286,431,213,218,218,209,103,44,59,0.7893772893772893,0.8192307692307692,0.7622377622377622,534,257,277,258,276,0.8071161048689138,0.8287937743190662,0.7870036101083032,0.8449612403100775,0.7572463768115942,12,3,9,0.02197802197802198,0.011538461538461539,0.03146853146853147,431,213,218,1077.5,532.5,545.0,4,0,0,0
2022-03-24,3,337,['Bpod8'],382,187,195,302,150,152,153,147,71,31,40,0.7905759162303665,0.8021390374331551,0.7794871794871795,373,181,192,181,191,0.8096514745308311,0.8287292817679558,0.7916666666666666,0.8453038674033149,0.7696335078534031,9,6,3,0.02356020942408377,0.03208556149732621,0.015384615384615385,302,150,152,755.0,375.0,380.0,4,1,1,1
2022-03-25,4,337,['Bpod8'],300,150,150,258,131,127,140,116,32,14,18,0.86,0.8733333333333333,0.8466666666666667,290,145,145,145,145,0.8896551724137931,0.903448275862069,0.8758620689655172,0.9655172413793104,0.8,10,5,5,0.03333333333333333,0.03333333333333333,0.03333333333333333,258,131,127,645.0,327.5,317.5,4,0,0,0
2022-03-28,0,337,['Bpod8'],176,100,76,92,44,48,45,42,29,26,3,0.5227272727272727,0.44,0.631578947368421,121,70,51,55,66,0.7603305785123967,0.6285714285714286,0.9411764705882353,0.8181818181818182,0.6363636363636364,55,30,25,0.3125,0.3,0.32894736842105265,92,44,48,230.0,110.0,120.0,4,0,0,0
2022-03-29,1,337,['Bpod8'],171,86,85,128,64,64,69,57,17,8,9,0.7485380116959064,0.7441860465116279,0.7529411764705882,145,72,73,75,70,0.8827586206896552,0.8888888888888888,0.8767123287671232,0.92,0.8142857142857143,26,14,12,0.15204678362573099,0.16279069767441862,0.1411764705882353,128,64,64,320.0,160.0,160.0,4,0,0,0
2022-03-30,2,337,['Bpod8'],200,97,103,140,66,74,87,52,36,23,13,0.7,0.6804123711340206,0.7184466019417476,176,89,87,96,79,0.7954545454545454,0.7415730337078652,0.8505747126436781,0.90625,0.6582278481012658,24,8,16,0.12,0.08247422680412371,0.1553398058252427,140,66,74,350.0,165.0,185.0,4,0,0,0
2022-03-31,3,337,['Bpod8'],200,85,115,123,53,70,61,55,13,4,9,0.615,0.6235294117647059,0.6086956521739131,136,57,79,62,74,0.9044117647058824,0.9298245614035088,0.8860759493670886,0.9838709677419355,0.7432432432432432,64,28,36,0.32,0.32941176470588235,0.3130434782608696,123,53,70,307.5,132.5,175.0,4,0,0,0
2022-04-01,4,337,['Bpod8'],126,64,62,89,37,52,43,41,15,12,3,0.7063492063492064,0.578125,0.8387096774193549,104,49,55,44,59,0.8557692307692307,0.7551020408163265,0.9454545454545454,0.9772727272727273,0.6949152542372882,22,15,7,0.1746031746031746,0.234375,0.11290322580645161,89,37,52,222.5,92.5,130.0,4,1,1,1
2022-04-04,0,337,['Bpod8'],206,105,101,163,82,81,89,71,31,19,12,0.7912621359223301,0.780952380952381,0.801980198019802,194,101,93,96,98,0.8402061855670103,0.8118811881188119,0.8709677419354839,0.9270833333333334,0.7244897959183674,12,4,8,0.05825242718446602,0.0380952380952381,0.07920792079207921,163,82,81,407.5,205.0,202.5,4,0,0,0
2022-04-05,1,337,['Bpod8'],161,94,67,36,6,30,18,4,16,16,0,0.2236024844720497,0.06382978723404255,0.44776119402985076,52,22,30,22,30,0.6923076923076923,0.2727272727272727,1.0,0.8181818181818182,0.13333333333333333,109,72,37,0.6770186335403726,0.7659574468085106,0.5522388059701493,36,6,30,90.0,15.0,75.0,4,0,0,0
2022-04-06,2,337,['Bpod8'],240,114,126,148,56,92,99,47,78,55,23,0.6166666666666667,0.49122807017543857,0.7301587301587301,226,111,115,116,110,0.6548672566371682,0.5045045045045045,0.8,0.853448275862069,0.42727272727272725,14,3,11,0.058333333333333334,0.02631578947368421,0.0873015873015873,148,56,92,370.0,140.0,230.0,4,0,0,0
2022-04-07,3,337,['Bpod8'],173,87,86,73,20,53,45,17,41,35,6,0.42196531791907516,0.22988505747126436,0.6162790697674418,114,55,59,58,56,0.6403508771929824,0.36363636363636365,0.8983050847457628,0.7758620689655172,0.30357142857142855,59,32,27,0.34104046242774566,0.367816091954023,0.313953488372093,73,20,53,182.5,50.0,132.5,4,0,0,0
2022-04-08,4,337,['Bpod8'],233,133,100,154,90,64,90,61,68,37,31,0.6609442060085837,0.6766917293233082,0.64,222,127,95,115,107,0.6936936936936937,0.7086614173228346,0.6736842105263158,0.782608695652174,0.5700934579439252,11,6,5,0.04721030042918455,0.045112781954887216,0.05,154,90,64,385.0,225.0,160.0,4,0,0,0
